player,role,skill_level,star_rating,total_matches,teams,batting_avg,strike_rate,total_runs,bowling_avg,economy,total_wickets
CA Young,All-rounder,Average,4.0,40,Ireland,6.48,80.85,149,23.99,5.23,73.0
MH Yardy,All-rounder,Average,4.0,27,England,13.58,66.02,326,56.28,4.78,18.0
Taskin Ahmed,All-rounder,Average,4.0,63,Bangladesh,6.47,50.26,207,31.71,5.26,84.0
NL McCullum,All-rounder,Average,4.0,84,New Zealand,17.26,92.6,1070,48.57,4.96,60.0
JT Ball,All-rounder,Average,4.0,18,England,6.33,41.21,38,45.14,6.0,21.0
R Shepherd,All-rounder,Average,4.0,34,West Indies,15.84,80.68,396,39.97,5.5,30.0
KV Morea,All-rounder,Average,5.0,16,Papua New Guinea,6.0,58.27,72,23.5,4.09,20.0
CH Morris,All-rounder,Average,4.0,40,South Africa,17.3,94.76,467,37.18,5.38,45.0
JL Denly,Batsman,Good,5.5,14,England,34.31,64.92,446,,5.82,0.0
MS Kasprowicz,Bowler,Elite,9.5,16,Australia,2.75,41.67,11,17.61,3.82,31.0
SM Sharma,All-rounder,Average,4.0,11,United Arab Emirates,11.38,88.66,91,29.0,5.6,11.0
Iftikhar Anjum,All-rounder,Average,4.0,57,Pakistan,7.25,76.89,203,32.01,4.82,67.0
JP Behrendorff,All-rounder,Average,4.0,12,Australia,3.5,88.89,21,34.81,5.21,16.0
ST Finn,All-rounder,Average,4.0,67,England,5.04,47.36,136,28.4,4.89,102.0
RR Powar,All-rounder,Average,4.0,27,India,10.4,63.62,156,36.97,4.54,29.0
PW Borren,All-rounder,Good,5.5,19,Netherlands,24.29,74.8,413,84.6,5.22,5.0
PJ Cummins,All-rounder,Average,4.0,89,Australia,9.21,73.04,525,27.62,5.02,139.0
R Chopra,Batsman,Average,4.0,11,United Arab Emirates,23.64,51.79,260,,,
NW Bracken,All-rounder,Average,5.0,100,Australia,5.61,61.85,174,23.67,4.33,152.0
Aftab Ahmed,Batsman,Average,4.0,55,Bangladesh,19.29,73.54,1061,90.0,5.45,4.0
C de Grandhomme,All-rounder,Average,4.5,45,New Zealand,21.2,96.82,742,40.34,4.59,29.0
M Theekshana,All-rounder,Average,5.0,41,Sri Lanka,10.04,46.7,251,23.26,4.3,61.0
U Bhatti,All-rounder,Average,5.5,11,Canada,15.0,97.83,120,26.33,3.76,12.0
Junaid Siddique,All-rounder,Average,4.0,98,"Bangladesh, United Arab Emirates",12.6,57.92,1021,27.11,4.74,72.0
JE Taylor,All-rounder,Average,4.0,79,West Indies,6.79,70.57,258,28.35,5.03,113.0
Sompal Kami,All-rounder,Average,4.0,55,Nepal,14.79,82.53,621,28.44,5.06,72.0
J Gumbie,Batsman,Good,5.5,15,Zimbabwe,25.27,55.31,379,,,
Naeem Islam,All-rounder,Average,4.0,51,Bangladesh,18.71,78.54,842,38.21,4.8,29.0
MC Sorensen,All-rounder,Average,4.0,10,Ireland,17.0,81.04,119,34.58,5.46,12.0
IDR Bradshaw,All-rounder,Average,5.0,49,West Indies,10.36,56.56,259,26.75,3.99,61.0
MA Jones,Batsman,Good,5.5,14,Scotland,27.5,66.13,385,,,
KP Meiyappan,All-rounder,Average,4.0,32,United Arab Emirates,7.76,38.01,163,30.83,5.4,35.0
R Hekure,All-rounder,Average,5.0,23,Papua New Guinea,14.91,55.59,328,27.08,4.48,25.0
TL Best,All-rounder,Average,4.0,22,West Indies,5.54,58.38,72,25.67,4.58,33.0
UDU Chandana,All-rounder,Average,4.0,26,Sri Lanka,13.68,68.19,260,27.91,4.7,33.0
CAH Stevenson,All-rounder,Average,4.0,22,United States of America,8.81,53.17,141,26.17,5.23,23.0
AG Cremer,All-rounder,Average,4.0,67,Zimbabwe,10.35,51.2,507,41.52,4.79,61.0
PJ Ongondo,All-rounder,Average,5.0,33,"Kenya, Africa XI",5.77,85.06,150,26.94,4.36,34.0
DJ Hussey,All-rounder,Star,7.0,64,Australia,28.34,79.69,1672,39.24,5.17,17.0
S Bau,All-rounder,Average,4.0,49,Papua New Guinea,17.84,48.38,874,53.44,4.76,9.0
O Thomas,All-rounder,Average,4.0,23,West Indies,1.57,17.05,22,31.1,6.35,30.0
HN Ya France,All-rounder,Average,5.0,22,Namibia,13.94,71.61,237,43.08,4.38,12.0
AN Petersen,Batsman,Good,6.5,19,South Africa,27.67,77.5,498,,3.0,0.0
T Shamsi,All-rounder,Average,4.0,50,South Africa,3.0,43.59,39,34.36,5.34,67.0
Fayyaz Butt,All-rounder,Average,4.0,30,Oman,10.58,78.57,201,34.31,5.53,35.0
Asad Shafiq,Batsman,Average,4.0,58,Pakistan,23.43,54.22,1312,,9.0,0.0
FA Allen,All-rounder,Average,4.0,19,West Indies,14.29,86.93,200,85.86,5.56,7.0
NM Hauritz,All-rounder,Average,4.0,50,Australia,10.93,89.87,295,37.73,4.62,48.0
S Movva,Batsman,Average,4.0,16,Canada,23.14,57.96,324,,,
Mohammad Saifuddin,All-rounder,Average,4.5,28,Bangladesh,20.0,101.72,360,29.85,5.77,40.0
Mohammad Nawaz (3),All-rounder,Average,4.0,15,Pakistan,16.08,81.09,193,38.27,5.08,15.0
C Karunaratne,All-rounder,Average,4.0,26,Sri Lanka,18.79,76.1,451,30.0,5.37,24.0
CN Ackermann,All-rounder,Good,5.5,14,Netherlands,25.08,66.73,326,43.3,4.76,10.0
Mohammad Naveed,All-rounder,Average,4.5,31,United Arab Emirates,10.19,104.16,275,29.31,5.21,45.0
AC Botha,All-rounder,Average,5.0,17,Ireland,15.59,54.58,265,29.43,4.16,14.0
Sohaib Maqsood,Batsman,Good,5.5,28,Pakistan,28.44,80.95,768,41.0,4.56,1.0
RAS Lakmal,All-rounder,Average,4.0,82,Sri Lanka,5.09,48.2,229,31.35,5.28,105.0
SA Yadav,Batsman,Average,4.5,39,India,22.09,97.14,773,,8.5,0.0
Shafiul Islam,All-rounder,Average,4.0,58,Bangladesh,4.0,42.42,132,34.12,5.74,69.0
S Matsikenyeri,All-rounder,Average,4.0,78,Zimbabwe,16.78,58.86,1309,48.82,4.84,11.0
Mudassar Bukhari,All-rounder,Average,4.0,15,Netherlands,10.5,67.3,126,31.67,4.85,15.0
W Madhevere,All-rounder,Average,4.0,34,Zimbabwe,21.74,61.81,674,52.0,5.11,12.0
RL Chase,All-rounder,Average,4.0,45,West Indies,21.33,65.43,704,57.08,5.02,25.0
M Kaif,Batsman,Average,4.0,66,India,20.53,55.55,1314,,,
J Botha,All-rounder,Average,5.0,73,"South Africa, Africa XI",12.12,85.22,594,40.25,4.48,67.0
AR Caddick,All-rounder,Average,5.0,11,England,6.4,91.15,64,21.0,3.68,17.0
NM Lyon,All-rounder,Average,4.0,30,Australia,5.92,90.52,77,47.04,4.86,28.0
Mohammad Wasim,All-rounder,Average,4.0,19,Pakistan,8.89,86.26,80,23.26,5.31,34.0
WP Masakadza,All-rounder,Average,4.0,32,Zimbabwe,9.71,54.31,204,49.7,5.05,20.0
LL Tsotsobe,All-rounder,Average,4.0,60,South Africa,3.05,69.73,58,23.7,4.6,94.0
DL Hemp,Batsman,Average,4.0,11,Bermuda,24.36,57.98,268,,7.0,0.0
L Klusener,All-rounder,Average,4.0,12,South Africa,20.38,91.48,163,33.82,4.89,11.0
Aarif Sheikh,All-rounder,Good,6.5,50,Nepal,23.45,60.99,1032,68.38,4.41,8.0
DR Tuffey,All-rounder,Average,4.0,38,New Zealand,8.95,83.62,188,32.17,4.68,46.0
Taufeeq Umar,Batsman,Average,4.0,11,Pakistan,23.82,50.62,262,,,
SMA Priyanjan,All-rounder,Average,4.0,21,Sri Lanka,21.0,79.09,420,44.6,5.07,5.0
MJ Prior,Wicketkeeper-Batsman,Average,4.0,62,England,21.56,65.33,1229,,,
AR Cusack,All-rounder,Average,4.0,29,Ireland,11.48,53.14,264,26.5,4.94,30.0
H Hiri,Batsman,Average,4.0,32,Papua New Guinea,13.59,51.89,435,56.0,6.59,2.0
SJ Harmison,All-rounder,Average,4.0,46,England,4.71,52.92,80,29.31,4.62,61.0
Shoaib Akhtar,All-rounder,Average,4.0,69,"Pakistan, Asia XI, ICC World XI",5.56,66.34,217,26.75,4.5,97.0
D Mongia,All-rounder,Average,4.0,21,India,19.06,57.32,324,50.88,4.9,8.0
Javed Omar,Batsman,Average,4.0,20,Bangladesh,23.4,40.42,468,,,
PG Fulton,Batsman,Good,5.5,43,New Zealand,28.28,65.38,1216,,,
P Kumar,All-rounder,Average,4.0,67,India,8.85,72.2,292,34.61,4.94,77.0
Naseem Khushi,Wicketkeeper-Batsman,Average,4.0,27,Oman,15.0,80.62,360,,,
HMRKB Herath,All-rounder,Average,5.0,64,Sri Lanka,4.83,54.02,140,37.24,4.37,59.0
A Nao,All-rounder,Average,4.0,19,Papua New Guinea,3.6,75.0,54,37.83,4.86,18.0
G Motie,All-rounder,Average,5.0,22,West Indies,14.91,63.16,164,24.45,4.25,33.0
Jasdeep Singh,All-rounder,Average,4.0,33,United States of America,10.67,64.32,224,35.67,5.2,36.0
NK Patel,All-rounder,Average,4.0,38,United States of America,14.91,65.45,477,30.47,4.56,38.0
A Athanaze,Batsman,Average,5.0,13,West Indies,23.54,72.51,306,,4.25,0.0
Sohag Gazi,All-rounder,Average,4.5,18,Bangladesh,12.13,103.37,182,33.24,4.59,21.0
ST Doheny,Batsman,Average,4.0,10,Ireland,18.33,42.98,165,,,
SMSM Senanayake,All-rounder,Average,4.0,57,Sri Lanka,8.79,93.52,290,39.15,4.71,47.0
F Behardien,All-rounder,Average,4.5,58,South Africa,21.92,102.44,1074,55.67,5.71,12.0
JWM Dalrymple,All-rounder,Average,4.0,27,England,18.73,60.8,487,48.77,4.53,13.0
A Kumble,All-rounder,Average,5.0,27,"India, Asia XI",6.75,47.52,108,40.58,4.43,26.0
Kaleem Sana,All-rounder,Average,5.0,15,Canada,7.3,88.21,73,19.28,3.68,25.0
Imran Haider,All-rounder,Average,4.0,17,United Arab Emirates,4.5,32.69,54,25.59,5.16,27.0
Jay Odedra,All-rounder,Average,5.0,17,Oman,5.8,38.9,29,27.64,3.99,14.0
D Khanal,Batsman,Good,5.5,15,Nepal,27.42,49.64,329,,6.67,0.0
MA Vermeulen,Batsman,Average,4.0,29,Zimbabwe,17.83,58.19,517,,,
Moin Khan,Wicketkeeper-Batsman,Average,4.0,17,Pakistan,18.27,60.58,274,,,
AD Mascarenhas,All-rounder,Average,4.0,20,England,18.85,92.5,245,51.92,4.55,12.0
CM McBride,Batsman,Average,5.0,17,Scotland,22.71,56.9,386,28.67,3.91,3.0
SJ Myburgh,Batsman,Average,4.0,14,Netherlands,24.79,68.59,347,,,
MN van Wyk,Batsman,Good,5.5,18,South Africa,26.56,63.53,425,,,
Mahedi Hasan,All-rounder,Average,4.0,11,Bangladesh,12.2,67.57,122,35.42,4.83,12.0
JA Richardson,All-rounder,Average,4.0,16,Australia,11.62,73.54,93,28.81,5.76,27.0
Mohammad Irfan,All-rounder,Average,4.0,60,Pakistan,1.6,34.7,48,29.18,4.68,83.0
Abdur Rehman,All-rounder,Average,5.0,31,Pakistan,6.0,52.43,132,40.81,4.07,26.0
H Osinde,All-rounder,Average,5.0,17,Canada,1.38,28.87,11,18.92,4.04,25.0
K Doriga,Wicketkeeper-Batsman,Average,4.0,34,Papua New Guinea,15.76,44.29,520,,,
KO Otieno,Wicketkeeper-Batsman,Average,4.0,18,Kenya,13.89,24.16,250,,,
G Malla,Batsman,Average,4.0,33,Nepal,22.82,59.17,753,17.0,5.67,1.0
NR Kirton,Batsman,Good,6.5,17,Canada,30.19,69.73,483,25.0,3.95,3.0
RP Singh,All-rounder,Average,4.0,54,India,5.42,42.77,103,30.87,4.99,68.0
XJ Doherty,All-rounder,Average,4.0,59,Australia,4.59,59.28,101,44.88,4.72,48.0
J Srinath,All-rounder,Average,5.0,16,India,3.88,26.17,31,18.52,3.65,27.0
Syed Rasel,All-rounder,Average,5.0,41,Bangladesh,3.45,44.68,76,33.91,4.49,45.0
JL Pattinson,All-rounder,Average,4.0,14,Australia,5.86,56.39,41,46.15,5.36,13.0
J Lewis,All-rounder,Average,5.0,11,England,6.14,86.01,43,22.59,3.69,17.0
HF Gurney,All-rounder,Average,4.0,10,England,2.5,42.98,15,36.91,5.34,11.0
Mehrab Hossain jnr,Batsman,Average,4.0,13,Bangladesh,18.3,34.04,183,51.0,4.94,3.0
I Sharma,All-rounder,Average,4.0,77,India,2.77,35.0,72,29.84,5.48,114.0
TLW Cooper,All-rounder,Star,7.0,18,Netherlands,32.0,69.85,576,54.6,5.35,5.0
B Bhandari,Batsman,Average,4.0,17,Nepal,20.38,58.01,265,,,
KMA Paul,All-rounder,Average,4.0,29,West Indies,16.0,83.36,304,38.46,5.92,28.0
TBM de Leede,All-rounder,Average,4.0,11,Netherlands,12.56,41.18,113,24.25,4.97,16.0
M Prasidh Krishna,All-rounder,Average,4.0,17,India,0.33,11.11,2,24.59,5.4,29.0
JP Inglis,Wicketkeeper-Batsman,Average,4.0,25,Australia,22.65,90.55,521,,,
Khaled Mahmud,All-rounder,Average,4.0,28,Bangladesh,10.88,52.02,283,44.86,4.98,22.0
AS Hansra,Batsman,Average,4.0,15,Canada,21.07,45.31,295,138.5,6.02,2.0
E Otieno,All-rounder,Average,4.0,10,Kenya,3.0,24.54,21,37.08,6.01,12.0
Mohammad Nawaz,All-rounder,Average,4.0,20,Pakistan,12.36,76.83,173,40.65,5.02,20.0
KD Karthik,Wicketkeeper-Batsman,Average,4.0,86,India,21.37,67.01,1624,,,
D Gough,All-rounder,Average,5.0,38,England,10.54,76.97,137,24.96,4.23,54.0
MM Sharma,All-rounder,Average,4.0,26,India,3.44,37.39,31,31.74,5.32,31.0
UT Yadav,All-rounder,Average,4.0,74,India,3.76,44.16,79,32.16,5.73,106.0
B Shikongo,All-rounder,Average,4.0,21,Namibia,1.55,35.92,17,28.88,5.41,24.0
TS Chisoro,All-rounder,Average,4.0,11,Zimbabwe,12.11,60.05,109,33.45,4.6,11.0
Arafat Sunny,All-rounder,Average,5.0,15,Bangladesh,4.8,66.76,48,26.19,4.33,21.0
Anwar Ali,All-rounder,Average,4.5,24,Pakistan,20.0,95.02,300,50.39,6.05,18.0
GS Ballance,Batsman,Average,4.0,20,"England, Zimbabwe",22.7,61.96,454,,,
L Balaji,All-rounder,Average,4.0,20,India,9.45,80.48,104,33.52,5.2,25.0
Junaid Khan,All-rounder,Average,4.0,73,Pakistan,2.96,49.75,68,29.05,5.23,104.0
BN Cooper,Batsman,Average,4.0,10,Netherlands,16.44,63.27,148,,,
Mushfiqur Rahman,All-rounder,Average,4.0,14,Bangladesh,14.86,49.19,208,60.88,4.55,8.0
JW Dernbach,All-rounder,Average,4.0,24,England,2.38,44.14,19,40.16,6.04,31.0
DBL Powell,All-rounder,Average,5.0,39,West Indies,5.53,46.4,105,30.98,4.43,49.0
CB Sole,All-rounder,Average,4.0,29,Scotland,5.15,84.65,67,20.71,4.53,52.0
N Pokana,All-rounder,Average,5.0,16,Papua New Guinea,4.91,45.64,54,19.92,3.95,26.0
KA Maharaj,All-rounder,Average,4.0,42,South Africa,10.35,69.85,238,34.81,4.56,47.0
S Randiv,All-rounder,Average,4.0,31,Sri Lanka,16.47,66.23,280,38.81,5.03,31.0
MJ Mason,All-rounder,Average,4.0,20,New Zealand,4.0,71.54,20,32.17,4.98,24.0
NV Knight,Batsman,Good,5.5,11,England,30.82,56.5,339,,,
JNT Seales,All-rounder,Average,4.0,18,West Indies,3.67,25.35,22,53.0,5.84,13.0
AJ McKay,All-rounder,Average,4.0,19,New Zealand,1.33,26.85,12,27.52,4.79,27.0
Nazmul Hossain,All-rounder,Average,4.0,26,Bangladesh,1.67,21.47,15,33.61,5.11,28.0
DS Kulkarni,Bowler,Star,7.0,12,India,13.5,93.1,27,25.0,4.7,19.0
Tanwir Afzal,All-rounder,Average,4.0,13,Hong Kong,13.42,79.44,161,47.0,4.53,8.0
MM Patel,All-rounder,Average,4.0,66,India,3.08,57.93,74,28.88,4.76,85.0
MA Wood,All-rounder,Average,4.0,62,England,6.9,79.2,138,39.25,5.36,71.0
C Madande,Batsman,Average,4.0,14,Zimbabwe,20.92,60.41,251,,,
NO Miller,All-rounder,Average,4.0,40,West Indies,10.73,73.36,279,47.17,4.85,29.0
LH Ferguson,All-rounder,Average,4.0,62,New Zealand,4.07,51.97,122,31.48,5.34,91.0
JH Davey,All-rounder,Average,4.0,17,Scotland,12.87,54.08,193,22.96,4.63,25.0
MW Short,Batsman,Average,4.0,11,Australia,21.67,93.53,195,157.0,5.81,1.0
Taijul Islam,All-rounder,Average,4.0,18,Bangladesh,8.9,57.32,89,28.38,4.66,24.0
KM Dabengwa,All-rounder,Average,4.0,25,Zimbabwe,15.83,57.67,364,56.45,5.35,11.0
V Shankar,Batsman,Good,6.0,11,India,27.71,97.01,194,50.5,5.32,4.0
RW Price,All-rounder,Average,5.0,78,Zimbabwe,7.16,55.7,315,40.26,4.01,68.0
DAJ Bracewell,All-rounder,Average,4.0,23,New Zealand,15.79,86.41,221,31.31,4.82,26.0
BM Tickner,All-rounder,Average,4.0,13,New Zealand,2.67,61.08,16,40.75,6.27,16.0
A Johnson,Batsman,Average,5.0,19,Canada,23.05,81.09,438,,3.5,0.0
Tapash Baisya,All-rounder,Average,4.0,25,Bangladesh,7.53,65.11,113,41.28,5.52,25.0
R Vinay Kumar,All-rounder,Average,4.0,31,India,7.17,57.34,86,36.82,5.85,38.0
MW Machan,Batsman,Star,7.0,11,Scotland,35.73,84.35,393,71.0,5.76,3.0
Ebadat Hossain,All-rounder,Average,4.0,10,Bangladesh,0.5,16.66,3,19.71,5.11,21.0
Aizaz Cheema,All-rounder,Average,4.0,14,Pakistan,4.33,61.62,26,24.78,5.23,23.0
JA Rudolph,Batsman,Good,5.5,27,"South Africa, Africa XI",32.8,63.93,820,,,
Al-Amin Hossain,All-rounder,Average,4.0,15,Bangladesh,0.67,17.38,4,26.64,5.33,22.0
SW Tait,All-rounder,Average,5.0,34,Australia,4.17,61.11,25,20.61,4.41,62.0
BJ McCarthy,All-rounder,Average,4.0,32,Ireland,8.45,66.16,169,32.35,5.57,46.0
HK Bennett,All-rounder,Average,4.0,18,New Zealand,2.0,30.0,10,23.27,5.12,33.0
SR Clark,All-rounder,Average,4.0,36,Australia,6.27,69.34,69,27.38,4.61,48.0
N Boje,All-rounder,Average,5.5,20,"South Africa, Africa XI",19.55,143.57,215,48.14,4.41,14.0
Mohammad Mithun,Batsman,Good,5.5,31,Bangladesh,25.39,69.44,711,,5.0,0.0
TL Chatara,All-rounder,Average,4.0,70,Zimbabwe,3.91,48.71,176,31.3,5.04,93.0
VD Philander,All-rounder,Average,5.0,29,South Africa,8.39,63.63,151,23.07,4.46,41.0
Ahmed Raza,All-rounder,Average,5.0,47,United Arab Emirates,10.86,56.0,391,30.98,4.02,54.0
WB Rankin,All-rounder,Average,5.0,47,"Ireland, England",3.9,49.29,78,28.44,4.49,63.0
Nadeem Ahmed,All-rounder,Average,5.0,17,Hong Kong,5.0,43.09,55,28.82,4.31,22.0
RD Shah,Batsman,Good,5.5,14,Kenya,29.07,47.77,407,,,
CB Mpofu,All-rounder,Average,4.0,64,Zimbabwe,1.33,32.03,40,47.59,5.29,56.0
BTJ Wheal,All-rounder,Average,5.0,12,Scotland,7.83,45.66,47,22.11,3.86,18.0
JK Kamande,All-rounder,Average,4.0,21,Kenya,9.0,52.53,171,53.1,4.87,10.0
ES Szwarczynski,Batsman,Average,4.0,12,Netherlands,23.42,52.07,281,,,
SJ Benn,All-rounder,Average,4.0,44,West Indies,6.28,68.5,182,58.68,4.8,31.0
IS Billcliff,Batsman,Average,4.0,10,Canada,22.3,43.59,223,,,
SS Pathirana,All-rounder,Good,5.5,18,Sri Lanka,23.71,77.93,332,50.36,5.55,14.0
CAK Rajitha,All-rounder,Average,4.0,27,Sri Lanka,6.93,48.1,104,39.31,5.97,29.0
PP Ojha,All-rounder,Average,5.0,18,India,5.11,39.31,46,33.63,4.41,19.0
KJ Abbott,All-rounder,Average,4.0,27,South Africa,5.85,52.51,76,29.94,4.71,34.0
TD Astle,Bowler,Good,6.0,10,New Zealand,19.75,111.66,79,27.0,5.4,9.0
GI Hume,All-rounder,Average,4.0,16,Ireland,8.29,60.95,58,25.88,5.35,24.0
LM Jongwe,All-rounder,Average,4.0,31,Zimbabwe,11.25,79.54,315,41.71,5.62,24.0
Shoriful Islam,All-rounder,Average,4.0,31,Bangladesh,4.79,82.28,91,30.7,5.67,43.0
L Tucker,Wicketkeeper-Batsman,Average,4.0,44,Ireland,17.29,75.6,657,,,
IG Butler,All-rounder,Average,4.0,13,New Zealand,9.75,52.03,78,36.07,5.41,15.0
T Mupariwa,All-rounder,Average,4.0,29,Zimbabwe,4.14,38.63,87,32.86,5.07,35.0
Saud Shakeel,Batsman,Good,5.5,12,Pakistan,28.3,78.22,283,34.0,4.86,1.0
JC Tredwell,All-rounder,Average,4.0,43,England,6.52,67.39,163,32.02,4.76,51.0
HMCM Bandara,All-rounder,Average,4.0,26,Sri Lanka,10.0,59.55,130,41.35,4.9,23.0
JP Kotze,Batsman,Average,4.0,17,Namibia,18.59,57.49,316,,,
AP Devcich,Batsman,Average,4.0,13,New Zealand,17.73,61.75,195,69.0,5.11,4.0
SI Mahmood,All-rounder,Average,4.0,25,England,7.0,80.85,84,34.03,5.24,30.0
HP Tillakaratne,Batsman,Good,5.5,14,Sri Lanka,25.54,62.01,332,,,
PADLR Sandakan,All-rounder,Average,4.0,30,Sri Lanka,3.37,35.83,64,56.85,5.96,26.0
RR Watson,Batsman,Average,5.0,11,Scotland,21.73,65.27,239,29.0,4.14,3.0
MS Sinclair,Batsman,Average,4.0,16,New Zealand,24.47,52.58,367,,,
Kaleemullah,All-rounder,Average,5.0,45,Oman,4.63,78.49,125,34.59,4.23,41.0
AG Wharf,All-rounder,Average,5.0,12,England,3.8,76.25,19,21.88,4.13,17.0
MG Bevan,Batsman,Good,5.5,25,Australia,30.2,63.44,755,,,
A Nortje,All-rounder,Average,4.0,21,South Africa,5.71,68.19,40,26.69,5.79,36.0
JJ Tucker,Batsman,Average,4.0,11,Bermuda,18.45,64.61,203,83.67,4.92,3.0
Kabir Ali,All-rounder,Average,4.0,12,England,6.75,62.7,54,35.18,5.81,17.0
SJ Baard,Batsman,Average,4.0,17,Namibia,19.18,45.08,326,,,
G Coetzee,All-rounder,Average,4.0,13,South Africa,8.14,54.23,57,23.78,6.42,27.0
KA Jamieson,All-rounder,Average,4.5,12,New Zealand,13.83,97.96,83,34.79,4.87,14.0
DNT Zoysa,All-rounder,Average,5.0,16,Sri Lanka,4.5,59.67,36,23.29,4.11,21.0
AF Milne,All-rounder,Average,4.0,48,New Zealand,8.18,83.09,180,33.95,5.27,56.0
SR Thompson,All-rounder,Average,4.0,13,Ireland,16.18,82.92,178,32.44,5.21,9.0
M Pathirana,All-rounder,Average,4.0,10,Sri Lanka,2.0,20.19,10,27.6,6.0,15.0
T Mishra,Batsman,Good,5.5,15,Kenya,26.33,54.17,395,,,
AG Prince,Batsman,Average,5.0,40,"Africa XI, South Africa",23.06,62.67,761,,1.5,0.0
AC Agar,All-rounder,Average,4.0,23,Australia,17.89,74.18,322,45.05,5.17,21.0
PHKD Mendis,Batsman,Average,4.0,17,Sri Lanka,21.5,62.13,344,107.5,6.32,2.0
Zawar Farid,All-rounder,Average,4.0,10,United Arab Emirates,16.5,94.59,132,22.88,5.55,8.0
RE van der Merwe,All-rounder,Average,4.0,30,"Netherlands, South Africa",8.65,72.56,173,35.88,4.59,32.0
A Sharma,Batsman,Average,4.0,13,United Arab Emirates,16.54,55.74,215,,,
NN Odhiambo,All-rounder,Average,4.0,22,Kenya,10.5,47.09,189,38.33,5.37,21.0
RN Lewis,All-rounder,Average,4.5,10,West Indies,16.75,119.2,134,46.57,5.17,7.0
AM Hardie,All-rounder,Average,4.0,11,Australia,16.75,77.5,134,37.57,5.26,7.0
CBRLS Kumara,All-rounder,Average,4.0,28,Sri Lanka,3.41,42.8,58,32.89,6.17,36.0
Saad Bin Zafar,All-rounder,Average,5.0,19,Canada,13.56,78.55,217,31.78,4.18,23.0
AF Giles,All-rounder,Average,5.0,35,England,15.89,79.87,286,36.59,3.96,29.0
Mosaddek Hossain,All-rounder,Average,4.0,38,Bangladesh,16.9,84.09,524,86.9,5.23,10.0
FJ Klaassen,All-rounder,Average,5.0,15,Netherlands,3.36,65.83,37,25.18,4.1,22.0
RP Arnold,All-rounder,Average,4.0,56,Sri Lanka,19.24,66.5,1039,38.88,5.55,8.0
MC Henriques,All-rounder,Average,4.0,17,Australia,7.8,71.0,117,42.38,5.06,8.0
TA Blundell,Batsman,Average,4.0,12,New Zealand,22.17,84.42,266,,,
Musa Ahmed,Batsman,Average,4.0,13,Netherlands,18.31,52.67,238,,5.0,0.0
LJ Wright,All-rounder,Average,4.0,50,England,18.13,74.89,707,57.4,5.01,15.0
T Panyangara,All-rounder,Average,4.0,50,Zimbabwe,5.05,47.66,192,46.02,5.36,50.0
BMAJ Mendis,All-rounder,Average,4.0,54,Sri Lanka,14.12,77.88,593,48.46,5.1,24.0
N Pradeep,All-rounder,Average,4.0,47,Sri Lanka,1.84,55.13,35,37.84,5.87,58.0
KC Brathwaite,Batsman,Good,5.5,10,West Indies,27.8,52.14,278,139.0,5.56,1.0
DLS van Bunge,All-rounder,Good,5.5,13,Netherlands,24.42,56.11,293,29.67,7.12,6.0
KTGD Prasad,All-rounder,Average,4.0,22,Sri Lanka,12.0,93.66,120,31.57,5.67,28.0
PM Seelaar,All-rounder,Average,4.0,27,Netherlands,10.9,53.33,218,38.62,4.78,26.0
Shabbir Ahmed,All-rounder,Average,5.0,15,Pakistan,1.0,40.87,6,31.0,3.88,16.0
Ehsan Khan,All-rounder,Average,5.0,13,Hong Kong,9.09,39.9,100,22.04,4.37,23.0
Nasum Ahmed,All-rounder,Average,4.0,16,Bangladesh,17.33,93.49,156,49.67,4.69,12.0
JJ van der Wath,All-rounder,Average,4.0,10,South Africa,11.12,75.53,89,41.31,6.17,13.0
GH Worker,Batsman,Good,5.5,11,New Zealand,27.2,63.61,272,,5.0,0.0
S Bhari,All-rounder,Average,5.0,10,Nepal,3.67,29.06,22,16.79,3.56,14.0
AM Ellis,All-rounder,Average,4.5,15,New Zealand,12.83,101.22,154,34.25,5.14,12.0
J Kila,All-rounder,Average,4.0,13,Papua New Guinea,13.25,63.82,159,31.5,4.97,6.0
ADS Fletcher,Batsman,Average,4.0,23,West Indies,13.26,54.22,305,,5.5,0.0
N Deonarine,Batsman,Average,4.0,27,West Indies,21.84,60.61,546,119.67,5.52,3.0
Khaled Mashud,Wicketkeeper-Batsman,Average,4.0,43,Bangladesh,16.81,48.68,605,,,
EC Rainsford,All-rounder,Average,5.0,22,Zimbabwe,1.82,40.24,31,46.25,4.3,16.0
DE Bernard,All-rounder,Average,4.0,16,West Indies,11.75,61.19,141,42.8,4.76,10.0
Washington Sundar,All-rounder,Good,5.5,19,India,22.5,93.62,315,26.78,4.63,23.0
M Vijay,Batsman,Average,4.0,17,India,21.19,64.74,339,35.0,5.83,1.0
CD Collymore,All-rounder,Average,5.0,37,West Indies,2.79,62.21,39,40.03,3.98,30.0
HJH Marshall,Batsman,Average,4.0,39,New Zealand,18.36,61.87,661,,,
R Gunasekera,Batsman,Average,4.0,13,Canada,19.62,32.51,255,,,
Manjural Islam Rana,All-rounder,Average,5.0,15,Bangladesh,19.31,54.62,251,40.2,4.02,10.0
MR Gillespie,All-rounder,Average,4.0,27,New Zealand,8.0,68.84,80,39.89,5.2,28.0
A Shahzad,All-rounder,Average,4.0,10,England,5.0,93.26,40,28.0,4.72,15.0
LOB Cann,Batsman,Average,4.5,10,Bermuda,21.4,98.98,214,78.0,6.5,1.0
